Year,Forest Loss (ha),Biomass Lost (t),Carbon Lost (tC),CO2e Lost (tCO2e)
2001,150.09982482000004,18011.978978400006,8465.630119848001,31040.643772776002
2002,141.81257959000004,17017.509550800005,7998.229488876002,29326.841459212006
2003,223.44581765000007,26813.498118000007,12602.344115460002,46208.595090020004
2004,184.56547087000004,22147.856504400006,10409.492557068002,38168.139375916006
2005,301.8261183300001,36219.13419960001,17022.993073812006,62417.64127064402
2006,165.04784659000003,19805.741590800004,9308.698547676002,34131.89467481201
2007,991.1390393300003,118936.68471960003,55900.24181821201,204967.55333344403
2008,804.2500417600003,96510.00501120003,45359.70235526401,166318.90863596802
2009,409.4054045400001,49128.64854480002,23090.464816056006,84665.03765887202
2010,164.89294481000005,19787.153377200004,9299.962087284,34099.860986708
2011,279.3653602300001,33523.84322760001,15756.206316972004,57772.75649556401
2012,444.4906577100001,53338.87892520001,25069.273094844004,91920.66801442801
2013,416.5308864200001,49983.70637040002,23492.34199408801,86138.58731165603
2014,703.7962374300002,84455.54849160003,39694.10779105201,145545.06190052404
2015,203.23113536000005,24387.736243200008,11462.236034304004,42028.19879244801
2016,860.4019370100002,103248.23244120003,48526.669247364014,177931.12057366804
2017,604.6590982300002,72559.09178760002,34102.77314017201,125043.50151396403
2018,965.4253438500003,115851.04126200004,54449.989393140015,199649.96110818005
2019,586.4581390800001,70374.97668960002,33076.23904411201,121279.54316174402
2020,675.7590152500002,81091.08183000002,38112.80846010001,139746.96435370002
2021,541.7689755500002,65012.27706600002,30555.770221020008,112037.82414374003
2022,911.8293279700002,109419.51935640002,51427.17409750801,188566.30502419602
2023,2933.9946149800007,352079.3537976001,165477.29628487202,606750.086377864
